"COUNTRY_KEY","COUNTRY_NAME","LATITUDE","LONGITUDE","AREA","CAPITAL","GDP","INFLATION","UNEMPLOYMENT","EXPORTS","IMPORTS","POPULATION","GROWTH_RATE","BIRTH_RATE","DEATH_RATE","LIFE_MALE","LIFE_FEMALE","AREA_LAND","POPULATION_DEN","LITERACY"
"EK","Equatorial Guinea",-5.20,12.20,28050,"Malabo",0.28,1.60,,0.52,0.63,409550,2.59,40.65,14.73,49.97,54.27,28050,14.60,50
"EN","Estonia",55.33,24.06,45100,"Tallinn",8.80,31.20,3.50,0.76,0.86,1616882,0.52,13.98,12.04,64.98,75.19,43200,37.40,100
"ET","Ethiopia",7.53,37.54,1127127,"Addis Ababa",22.70,21.00,,0.18,0.47,54927108,3.40,45.01,13.89,51.00,54.38,1119683,49.10,24
"FJ","Fiji",-17.60,178.30,18270,"Suva",3.00,5.60,5.90,0.41,0.51,764382,1.05,24.18,6.50,62.88,67.51,18270,41.80,86
"FI","Finland",62.45,26.12,337030,"Helsinki",81.10,2.10,22.00,23.40,18.00,5068931,0.34,12.41,9.84,72.18,79.86,305470,16.60,100
"FR","France",46.38,0.47,547030,"Paris",1050.00,2.10,12.20,270.50,250.20,57840445,0.47,13.13,9.30,74.27,82.30,545630,106.00,99
"FG","French Guiana",4.20,-53.00,91000,"Cayenne",0.42,4.10,13.00,0.59,1.50,139299,4.27,25.83,4.67,71.93,78.63,89150,1.60,82
"GB","Gabon",-0.30,10.45,267670,"Libreville",5.40,0.70,,2.30,0.70,1139006,1.46,28.46,13.90,51.88,57.53,257670,4.40,61
"GA","Gambia",13.50,-15.90,11300,"Banjul",0.74,5.00,,0.16,0.21,959300,3.08,46.39,15.64,47.83,52.39,10000,95.90,27
"GG","Georgia",42.00,43.32,69700,"Tbilisi",7.80,486.00,20.00,,,5681025,0.81,16.11,8.69,69.16,76.70,69700,81.50,100
"GM","Germany",51.20,11.50,356910,"Berlin",1331.00,4.20,8.10,392.00,374.60,81087506,0.36,11.04,10.89,73.22,79.64,349520,232.00,99
"GH","Ghana",8.00,-2.00,238540,"Accra",25.00,10.00,10.00,1.00,1.50,17225185,3.09,44.13,12.27,53.58,57.52,230020,74.90,60
"GR","Greece",39.00,21.29,131940,"Athens",93.20,14.40,9.50,6.00,23.30,10564630,0.84,10.50,9.32,75.20,80.35,130800,80.80,93
"GL","Greenland",74.00,-40.00,2175600,"Nuuk (Godthab)",0.50,1.60,9.00,0.34,0.40,57040,0.94,18.60,7.43,62.55,71.28,383600,0.10,
"GJ","Grenada",12.02,-61.15,340,"Saint Georges",0.25,3.60,25.00,0.19,0.10,94109,0.35,30.28,6.19,68.00,72.85,340,276.80,98
"GP","Guadeloupe",16.40,-61.09,1780,"Basse-Terre",2.90,3.70,31.30,0.16,1.20,428947,1.55,17.68,5.94,73.91,80.14,1760,243.70,90
"GT","Guatemala",15.60,-90.30,108890,"Guatemala City",31.30,11.60,6.10,1.30,2.60,10721387,2.58,35.42,7.53,61.86,67.10,108430,98.90,55
"GV","Guinea",10.48,-12.28,245860,"Conakry",3.10,16.60,,0.62,0.76,6391536,2.45,44.08,19.60,41.90,46.43,245860,26.00,24
"PU","Guinea-Bissau",12.10,-15.10,36120,"Bissau",0.86,55.00,,0.20,0.63,1098231,2.37,40.75,17.03,45.79,49.15,28000,39.20,36
"GY","Guyana",4.80,-59.09,214970,"Georgetown",1.40,7.00,12.00,0.40,0.52,729425,-0.75,19.95,7.36,61.66,68.30,196850,3.70,95
"HA","Haiti",19.00,-72.15,27750,"Port-au-Prince",5.20,20.00,32.00,0.13,0.42,6491450,1.63,39.72,18.78,43.45,46.85,27560,235.50,53
"HO","Honduras",14.70,-86.80,112090,"Tegucigalpa",10.00,13.00,10.00,0.85,1.10,5314794,2.73,34.97,6.22,65.23,70.08,111890,47.50,73
"HU","Hungary",46.43,17.54,93030,"Budapest",57.00,23.00,13.00,8.90,12.50,10319113,-0.03,12.46,12.72,67.37,75.58,92340,111.80,99
"IC","Iceland",65.12,-19.45,103000,"Reykjavik",4.20,4.00,4.50,1.50,1.50,263599,0.90,16.41,6.72,76.57,81.21,100250,2.60,100
"IN","India",23.00,77.30,3287590,"New Delhi",1170.00,8.00,,21.40,22.00,919903056,1.82,28.45,10.29,58.09,59.09,2973190,309.40,52
"ID","Indonesia",-2.30,114.19,1919440,"Jakarta",571.00,10.00,3.00,38.20,28.30,200409741,1.59,24.45,8.60,58.70,62.88,1826440,109.70,77
"IR","Iran",31.15,53.29,1648000,"Tehran",303.00,30.00,30.00,15.50,23.70,65615474,3.46,42.43,7.83,64.70,66.68,1636000,40.10,54
"IZ","Iraq",32.00,42.29,437072,"Baghdad",38.00,200.00,,10.40,6.60,19889666,3.73,44.11,7.26,64.87,66.66,432162,46.00,60
"EI","Ireland",53.33,-8.00,70280,"Dublin",46.30,2.70,16.00,28.30,23.30,3539296,0.30,14.21,8.59,72.85,78.68,68890,51.40,98
"IS","Israel",31.10,34.59,20770,"Jerusalem",65.70,11.30,10.40,14.10,20.30,5050850,2.22,20.55,6.43,75.86,80.16,20330,248.40,92
"IT","Italy",43.58,11.14,301230,"Rome",967.60,4.20,11.30,178.20,188.50,58138394,0.21,10.79,9.71,74.44,81.04,294020,197.70,97
"JM","Jamaica",17.45,-78.00,10990,"Kingston",8.00,30.00,15.40,1.10,1.50,2555064,1.02,21.69,5.62,72.16,76.68,10830,235.90,98
"JA","Japan",36.00,138.50,377835,"Tokyo",2549.00,1.30,2.50,360.90,240.70,125106937,0.32,10.49,7.31,76.47,82.28,374744,333.80,99
"JO","Jordan",30.90,36.09,89213,"Amman",11.50,5.00,20.00,1.40,3.20,3961194,3.50,38.77,4.22,70.04,73.77,88884,44.60,80
"KZ","Kazakhstan",48.05,67.94,2717300,"Almaty",60.30,336.00,0.60,1.30,0.35,17267554,0.64,19.40,7.93,63.39,72.93,2669800,6.50,100
"KE","Kenya",1.00,36.52,582650,"Nairobi",33.20,55.00,23.80,1.00,1.60,28240658,3.07,42.44,11.74,51.48,55.03,569250,49.60,69
"KU","Kuwait",29.00,48.45,17820,"Kuwait City",25.70,3.00,0.10,10.50,6.00,1819322,5.24,29.43,2.37,72.83,77.25,17820,102.10,73
"KG","Kirghizia",41.94,75.86,198500,"Bishkek",11.30,276.00,0.20,0.10,0.10,4698108,1.53,26.33,7.36,63.69,72.35,191300,24.60,100
"LA","Laos",20.15,102.00,236800,"Vientiane",4.10,9.80,21.00,0.13,0.26,4701654,2.85,43.23,14.74,50.16,53.28,230800,20.40,64
"LG","Latvia",56.85,25.25,64100,"Riga",13.20,24.00,5.60,0.42,,2749211,0.50,13.84,12.61,64.37,74.75,64100,42.90,100
"LE","Lebanon",34.00,35.50,10400,"Beirut",6.10,35.00,35.00,0.92,4.10,3620395,1.98,27.89,6.55,66.92,71.90,10230,353.90,80
"LI","Liberia",6.30,-9.55,111370,"Monrovia",2.30,12.00,43.00,0.50,0.39,2972766,3.33,43.48,12.34,55.27,60.25,96320,30.90,40
"LY","Libya",27.37,15.00,1759540,"Tripoli",32.00,6.00,,7.70,8.26,5057392,3.72,45.29,8.14,61.73,66.13,1759540,2.90,64
"LH","Lithuania",58.79,25.82,65200,"Vilnius",12.40,188.00,1.80,,,3848389,0.74,14.71,10.95,66.53,76.19,65200,59.00,98
"LU","Luxembourg",49.29,6.22,2586,"Luxembourg",8.70,3.60,5.10,6.40,8.30,401900,0.80,12.81,9.47,73.01,80.52,2586,155.40,100
"MA","Madagascar",-20.10,46.50,587040,"Antananarivo",10.40,20.00,,0.31,0.35,13427758,3.19,45.22,13.35,52.06,55.96,581540,23.10,80
"MI","Malawi",-11.15,33.45,118480,"Lilongwe",6.00,21.00,,0.41,0.73,9732409,-1.09,50.42,23.19,38.93,40.55,94080,103.40,22
"MY","Malaysia",4.10,102.59,329750,"Kuala Lumpur",141.00,3.60,3.00,46.80,40.40,19283157,2.28,28.45,5.67,66.26,72.18,328550,58.70,78
"ML","Mali",15.45,-0.15,1240000,"Bamako",5.80,2.00,,0.33,0.68,9112950,2.78,51.79,20.36,44.29,47.57,1220000,7.50,17
"MT","Malta",35.52,13.30,320,"Valletta",2.40,1.64,4.00,1.30,0.19,366767,0.79,13.56,7.45,74.53,79.18,320,1146.10,84
"MB","Martinique",14.50,-60.40,1100,"Fort-de-France",3.30,3.90,32.10,0.20,1.50,392362,1.20,17.96,5.95,74.88,81.20,1060,370.20,93
"MR","Mauritania",19.37,-13.30,1030700,"Nouakchott",2.20,11.50,20.00,0.43,0.41,2192777,3.16,47.65,16.09,45.23,51.01,1030400,2.10,34
"MX","Mexico",23.29,-102.50,1972550,"Mexico City",740.00,8.00,10.70,50.50,65.50,92202199,1.94,27.17,4.73,69.36,76.70,1923040,47.90,87
"MD","Moldova",47.23,28.55,33700,"Chisinau",16.30,360.00,1.00,0.10,0.14,4473033,0.38,16.02,10.02,64.65,71.67,33700,132.70,100
"MG","Mongolia",46.00,100.00,1565000,"Ulaanbaatar",2.80,325.00,15.00,0.35,0.50,2429762,2.61,33.04,6.99,63.90,68.52,1565000,1.60,
"MO","Morocco",32.00,-7.00,446550,"Rabat",70.30,4.50,16.00,5.70,8.40,28558635,2.12,28.59,6.26,66.36,70.20,446300,64.00,50
"MZ","Mozambique",-20.15,33.52,801590,"Maputo",9.80,40.00,50.00,0.16,1.03,17346280,5.87,44.97,16.33,46.63,50.41,784090,22.10,33
"WA","Namibia",-22.40,16.70,825418,"Windhoek",3.85,17.90,30.00,1.28,1.17,1595567,3.45,43.40,8.87,58.97,64.40,825418,1.90,38
"NP","Nepal",28.45,83.00,140800,"Kathmandu",20.50,9.00,5.00,0.36,0.78,21041527,2.44,37.63,13.28,52.35,52.73,136800,153.80,26
"NL","Netherlands",52.40,5.70,37330,"Amsterdam",262.80,3.50,9.10,139.00,130.30,15367928,0.58,12.62,8.50,74.69,80.97,33920,453.10,99
"NA","Netherlands Antilles",12.20,-68.95,960,"Willemstad",1.80,2.00,16.40,0.24,1.20,185790,0.47,16.62,5.50,74.10,78.66,960,193.50,94
"NC","New Caledonia",-20.70,165.69,19060,"Noumea",1.00,1.40,16.00,0.67,0.76,181309,1.79,22.39,4.96,70.32,77.09,18760,9.70,91
"NZ","New Zealand",-42.00,175.00,268680,"Wellington",53.00,2.00,9.10,10.30,9.40,3388737,0.57,15.52,8.06,72.76,80.18,268670,12.60,99
"NU","Nicaragua",12.45,-86.15,129494,"Managua",6.40,20.00,13.00,0.22,0.90,4096689,2.68,34.66,6.69,61.18,66.96,120254,34.10,57
"NG","Niger",18.02,8.30,1267000,"Niamey",5.40,1.30,,0.29,0.34,8971605,3.36,54.95,21.32,43.01,46.26,1266700,7.10,28
"NI","Nigeria",8.57,6.30,923770,"Abuja",95.10,60.00,28.00,11.90,8.30,98091097,3.15,43.52,12.43,54.11,56.59,910770,107.70,51
"KN","North Korea",40.00,127.00,120540,"Pyongyang",22.00,,,1.30,1.90,23066573,1.83,23.75,5.50,66.69,73.02,120410,191.60,99
"NO","Norway",61.40,9.20,324220,"Oslo",89.50,2.30,5.50,32.10,24.80,4314604,0.39,13.32,10.44,74.02,80.94,307860,14.00,99
"PK","Pakistan",28.00,67.30,803940,"Islamabad",239.00,12.70,10.00,6.80,9.10,128855965,2.86,42.22,12.38,56.79,58.06,778720,165.50,35
"PM","Panama",9.00,-80.00,78200,"Panama City",11.60,1.00,12.50,0.54,2.50,2630000,1.94,24.61,4.87,72.28,77.62,75990,34.60,88
"PP","Papua New Guinea",-7.00,142.14,461690,"Port Moresby",8.20,4.50,,1.30,1.60,4196806,2.31,33.50,10.38,55.60,57.31,451710,9.30,52
"PA","Paraguay",-24.00,-57.00,406750,"Asuncion",15.20,20.40,11.00,0.72,1.38,5213772,2.76,32.03,4.48,71.74,74.90,397300,13.10,90
"PE","Peru",-10.00,-75.00,1285220,"Lima",70.00,39.00,15.00,3.70,4.50,23650671,1.86,25.55,7.00,63.44,67.90,1280000,18.50,85
"RP","Philippines",11.25,123.40,300000,"Manila",171.00,7.60,9.20,11.10,17.10,69808930,1.92,27.34,6.94,62.88,68.02,298170,234.10,90
"PL","Poland",52.36,17.01,312680,"Warsaw",180.40,37.00,15.70,13.50,15.60,38654561,0.35,13.44,9.40,68.64,76.91,304510,126.90,98
"PO","Portugal",38.15,-8.08,92080,"Lisbon",91.50,7.00,7.00,17.50,28.00,10524210,0.36,11.66,9.70,71.77,78.86,91640,114.80,85
"RQ","Puerto Rico",18.16,-66.50,9104,"San Juan",26.80,2.10,18.00,21.80,14.80,3801977,0.13,16.50,7.93,70.42,77.65,8959,424.40,89
"RO","Romania",46.18,22.53,237500,"Bucharest",63.70,72.00,11.00,4.00,5.40,23181415,0.06,13.66,10.02,68.81,74.84,230340,100.60,98
"RS","Russia",52.00,55.00,17075200,"Moscow",775.40,252.00,1.40,43.00,27.00,149608953,0.20,12.67,11.34,63.85,74.20,16995800,8.80,100
"RW","Rwanda",-2.10,29.37,26340,"Kigali",6.80,9.50,,0.66,0.26,8373963,2.78,49.17,21.35,39.33,41.21,24950,335.60,50
"SB","Saint Pierre and Miquelon",46.52,-56.40,242,"Saint-Pierre",0.06,,9.60,0.30,0.82,6704,0.78,13.23,5.98,73.99,77.55,242,27.70,99
"VC","St. Vincent and the Grenadines",13.19,-61.05,340,"Kingstown",0.21,3.30,35.00,0.77,0.11,115437,0.77,20.27,5.20,70.77,73.84,340,339.50,96
"SA","Saudi Arabia",22.40,46.00,1960582,"Riyadh",194.00,1.00,6.50,42.30,26.00,18196783,3.24,38.25,5.83,66.25,69.65,1960582,9.30,62
"SG","Senegal",14.53,-14.58,196190,"Dakar",11.80,-1.80,,0.90,1.20,8730508,3.11,43.15,12.01,55.12,58.09,192000,45.50,38
"SR","Serbia",43.63,20.71,102350,"Belgrade",10.00,60.00,60.00,4.40,6.40,10759897,0.54,14.35,8.94,76.57,82.50,102136,105.30,
"SL","Sierra Leone",8.48,-12.30,71740,"Freetown",4.50,35.00,,0.14,0.13,4630037,2.62,45.06,18.87,43.58,49.30,71620,64.60,21
"LO","Slovak Republic",48.87,19.40,48845,"Bratislava",31.00,23.00,14.40,5.13,5.95,5403505,0.53,14.55,9.28,68.66,77.20,48800,97.20,
"SI","Slovenia",46.16,14.69,20296,"Ljubljana",15.00,22.90,15.50,5.10,5.30,1972227,0.23,11.81,9.50,70.49,78.44,20296,110.70,
"SO","Somalia",3.28,44.47,637660,"Mogadishu",3.40,210.00,,0.58,0.24,6666873,3.24,45.97,13.53,54.49,55.01,627340,10.60,24
"SF","South Africa",-28.00,24.50,1219912,"Pretoria",171.00,9.70,50.00,24.30,18.10,43930631,2.62,33.58,7.53,62.37,67.94,1219912,36.00,76
"KS","South Korea",36.29,128.00,98480,"Seoul",424.00,4.80,2.60,81.00,78.90,45082880,1.04,15.70,6.17,67.39,73.98,98190,459.10,96
"SP","Spain",40.15,-4.30,504750,"Madrid",498.00,4.50,22.00,72.80,92.50,39302665,0.25,11.05,8.82,74.45,81.21,499400,78.70,95
"CE","Sri Lanka",7.40,80.59,65610,"Colombo",53.50,11.60,15.00,2.30,3.00,18129850,1.18,18.51,5.77,69.37,74.55,64740,280.00,88
"SU","Sudan",14.00,28.00,2505810,"Khartoum",21.50,105.00,30.00,0.35,1.10,29419798,2.36,41.95,12.09,53.40,55.19,2376000,12.40,27
"NS","Surinam",4.00,-56.00,163270,"Paramaribo",1.17,109.00,16.50,0.29,0.25,422840,1.57,25.31,6.00,66.94,72.08,161470,2.60,95
"WZ","Swaziland",-26.45,31.29,17360,"Mbabane",2.30,11.00,15.00,0.63,0.73,936369,3.21,43.14,11.07,52.40,60.50,17200,54.40,67
"SW","Sweden",60.09,14.10,449964,"Stockholm",153.70,4.40,8.20,49.70,42.30,8778461,0.52,13.50,10.90,75.47,81.20,410928,21.40,99
"SZ","Switzerland",46.59,8.60,41290,"Bern",149.10,3.30,5.10,63.00,60.70,7040119,0.70,12.23,9.20,74.80,81.71,39770,177.00,99
"SY","Syria",35.00,37.15,185180,"Damascus",81.70,16.30,7.50,3.40,4.10,14886672,3.74,43.65,6.25,65.37,67.61,184050,80.90,64
"TW","Taiwan",23.50,120.90,35980,"Taipei",224.00,3.20,1.50,85.00,77.10,21298930,0.96,15.60,5.63,72.01,78.66,32260,660.20,86
"TI","Tajikistan",38.48,69.32,143100,"Dushanbe",6.90,456.00,1.10,0.26,0.37,5995469,2.67,34.79,6.71,65.88,71.79,142700,42.00,100
"TZ","Tanzania",-6.84,33.58,945090,"Dar es Salaam",16.70,21.00,,0.41,1.51,27985660,2.50,45.48,19.42,41.52,45.03,886040,31.60,46
"TH","Thailand",16.29,101.00,514000,"Bangkok",323.00,4.10,3.10,28.40,37.60,59510471,1.30,19.43,6.41,64.99,71.87,511770,116.30,93
"MK","Macedonia",41.62,21.67,25333,"Skopje",2.20,156.00,27.00,0.88,0.96,2213785,0.89,15.59,6.72,71.51,75.85,24856,89.10,
"TO","Togo",7.90,0.86,56790,"Lome",3.30,0.50,,0.55,0.63,4255090,3.59,47.30,11.39,54.87,59.06,54390,78.20,43
"TD","Trinidad and Tobago",10.10,-61.50,5130,"Port-of-Spain",10.40,9.50,18.50,1.40,0.90,1328282,1.10,19.60,6.28,68.09,73.43,5130,258.90,95
"TS","Tunisia",34.59,9.20,163610,"Tunis",34.30,4.50,16.20,4.10,6.40,8726562,1.76,23.40,4.95,70.85,75.03,155360,56.20,65
"TU","Turkey",38.45,32.00,780580,"Ankara",312.40,65.00,12.20,14.90,22.90,62153898,2.02,25.98,5.80,68.61,73.38,770760,80.60,81
"TX","Turkmenistan",39.58,58.81,488100,"Ashgabat",13.00,540.00,2.90,1.20,0.49,3995122,2.01,30.42,7.44,61.63,68.82,488100,8.20,100
"TK","Turks and Caicos Islands",21.40,-71.44,430,"Grand Turk",0.80,,12.00,0.68,0.42,13552,2.69,14.14,5.17,73.41,77.02,430,31.50,98
"UG","Uganda",2.00,32.27,236040,"Kampala",24.10,41.50,,0.15,0.51,19121934,2.42,48.80,23.68,37.15,37.79,199710,95.70,48
"UP","Ukraine",49.35,30.65,603700,"Kiev (Kyyiv)",205.40,540.00,0.40,3.00,,51846958,0.05,12.34,12.60,65.45,74.76,603700,85.90,100
"UK","United Kingdom",52.79,-1.80,244820,"London",980.20,2.60,10.30,190.10,221.60,58135110,0.28,13.39,10.76,73.94,79.69,241590,240.60,99
"US","United \nStates",38.00,-107.00,9372610,"Washington",6379.00,3.00,6.00,449.00,582.00,260713585,0.99,15.20,8.68,72.58,79.00,9166600,28.00,28
"UY","Uruguay",-32.45,-56.00,176220,"Montevideo",19.00,50.00,8.80,1.60,2.00,3198910,0.75,17.70,9.39,70.88,77.47,173620,18.40,96
"UZ","Uzbekistan",40.68,64.58,447400,"Tashkent (Toshkent)",53.70,216.00,0.20,0.70,0.94,22608866,2.13,30.01,6.51,65.28,72.04,425400,53.10,100
"VE","Venezuela",8.00,-65.00,912050,"Caracas",161.00,46.00,8.20,14.20,11.00,20562405,2.16,25.74,4.63,70.12,76.03,882050,23.30,88
